blank_steps,decoded_delta_deg,dist_to_nearest_clean,dist_to_target_clean,move_steps,nearest_angle_error_deg,nearest_clean_delta_deg,tag,target_delta_deg,velocity_deg
0,14.796973574325975,1.1408674716949463,1.1532340049743652,5,12.140146519040128,2.85985348095987,gru,14.999999999999996,3.0
1,14.963335690826952,1.0303539037704468,1.0410150289535522,5,10.140144186655332,4.859855813344664,gru,14.999999999999996,3.0
5,14.13766644069803,0.7454959154129028,0.7533072829246521,5,6.640150350265698,8.359849649734297,gru,14.999999999999996,3.0
20,14.541030219576653,0.35584449768066406,0.3561919629573822,5,0.8901487673012936,14.109851232698702,gru,14.999999999999996,3.0
100,14.167465432445809,0.054955992847681046,0.06213697791099548,5,1.6098507330851135,16.609850733085107,gru,14.999999999999996,3.0
500,8.94876994774635,0.062076542526483536,0.08618021756410599,5,3.390148267687701,11.609851732312295,gru,14.999999999999996,3.0
1000,4.201088349553616,0.07464233040809631,0.1640777736902237,5,8.140148684459708,6.859851315540287,gru,14.999999999999996,3.0
2000,-4.227360732286239,0.0779145136475563,0.31715908646583557,5,17.140145519812936,-2.140145519812944,gru,14.999999999999996,3.0
0,15.638513777778202,17.107114791870117,17.2204532623291,5,15.109856231398718,30.109856231398712,lru,14.999999999999996,3.0
1,15.547727626733437,11.81690788269043,12.376104354858398,5,35.64014660380477,-20.640146603804777,lru,14.999999999999996,3.0
5,15.333302201974195,17.700504302978516,17.88090705871582,5,19.60985123398075,34.60985123398074,lru,14.999999999999996,3.0
20,15.269340440038205,17.009180068969727,17.009368896484375,5,0.6098495668927167,15.609849566892711,lru,14.999999999999996,3.0
100,14.201883441813127,16.5455379486084,16.681907653808594,5,17.359850317595146,32.35985031759514,lru,14.999999999999996,3.0
500,-79.17415157048696,17.352867126464844,17.35887336730957,5,6.890148934266504,8.10985106573349,lru,14.999999999999996,3.0
1000,-108.09129534448527,13.531266212463379,14.410481452941895,5,100.39013525722166,-85.39013525722167,lru,14.999999999999996,3.0
2000,-108.68621552639893,12.372493743896484,13.823456764221191,5,117.39014825230325,-102.39014825230325,lru,14.999999999999996,3.0
0,14.90071338020956,1.7405470609664917,3.16032338142395,5,13.890150267424112,1.109849732575883,am_lru_eps0,14.999999999999996,3.0
1,14.843573999836966,1.5833966732025146,3.072516679763794,5,13.890150267424112,1.109849732575883,am_lru_eps0,14.999999999999996,3.0
5,14.867799568182,1.5202666521072388,2.999565362930298,5,13.640144853234135,1.35985514676586,am_lru_eps0,14.999999999999996,3.0
20,14.898999395084136,1.4020663499832153,2.8498027324676514,5,12.890149101231717,2.10985089876828,am_lru_eps0,14.999999999999996,3.0
100,14.906462073848656,1.285073161125183,2.6924781799316406,5,12.39014510304093,2.609854896959063,am_lru_eps0,14.999999999999996,3.0
500,14.961498776793782,1.2583003044128418,2.6306004524230957,5,12.140146519040128,2.85985348095987,am_lru_eps0,14.999999999999996,3.0
1000,14.968874960390671,1.2581292390823364,2.628699779510498,5,12.140146519040128,2.85985348095987,am_lru_eps0,14.999999999999996,3.0
2000,14.969002911550657,1.2581281661987305,2.6286730766296387,5,12.140146519040128,2.85985348095987,am_lru_eps0,14.999999999999996,3.0
0,14.881434902886982,1.494964361190796,2.8403735160827637,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
1,14.852211886802925,1.2820680141448975,2.7387828826904297,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
5,14.844140200917689,1.2838985919952393,2.740891695022583,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
20,14.844058557200977,1.2838987112045288,2.74090576171875,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
100,14.844058557200977,1.2838987112045288,2.74090576171875,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
500,14.844058557200977,1.2838987112045288,2.74090576171875,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
1000,14.844058557200977,1.2838987112045288,2.74090576171875,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
2000,14.844058557200977,1.2838987112045288,2.74090576171875,5,12.39014510304093,2.609854896959063,am_lru_eps3e-5,14.999999999999996,3.0
0,14.92871747840642,1.5083212852478027,2.86777925491333,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
1,14.890864397046753,1.2885653972625732,2.7620372772216797,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
5,14.890851842434607,1.2885662317276,2.7620368003845215,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
20,14.890851842434607,1.2885662317276,2.7620368003845215,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
100,14.890851842434607,1.2885662317276,2.7620368003845215,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
500,14.890851842434607,1.2885662317276,2.7620368003845215,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
1000,14.890851842434607,1.2885662317276,2.7620368003845215,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
2000,14.890851842434607,1.2885662317276,2.7620368003845215,5,12.39014510304093,2.609854896959063,am_lru_eps1e-4,14.999999999999996,3.0
0,14.68758502815672,2.1173782348632812,3.1393144130706787,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
1,14.670641344868606,1.9817949533462524,3.030426025390625,5,12.890149101231717,2.10985089876828,am_lru_nw_eps0,14.999999999999996,3.0
5,14.736444254650179,1.8530116081237793,2.9154467582702637,5,12.64014368704174,2.359856312958257,am_lru_nw_eps0,14.999999999999996,3.0
20,14.812520619176846,1.5497561693191528,2.66542649269104,5,12.140146519040128,2.85985348095987,am_lru_nw_eps0,14.999999999999996,3.0
100,14.988454101673065,1.1883835792541504,2.3585317134857178,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps0,14.999999999999996,3.0
