run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,task_rmse_mean,task_rmse_sd,post_hold_1000_rmse_mean,post_hold_1000_rmse_sd,normal_kick_1x_recovery_500_rmse_mean,normal_kick_1x_recovery_500_rmse_sd,tangent_shift_recovery_500_rmse_mean,tangent_shift_recovery_500_rmse_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,trainable_parameter_count_mean,trainable_parameter_count_sd,wall_time_seconds_mean,wall_time_seconds_sd
main.ring_hold.ca_lru,ring_hold,CA-LRU,state-dependent update,1e-4,ring_hold,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed2.json,0.0007350305386353284,0.00041423766106962057,0.0007350305386353284,0.00041423766106962057,0.03137806306282679,0.0025949371824200594,0.000737871479941532,0.00041781451898645876,3.0,0.0,3.012080351511637,7.339162614903605e-05,57026.0,0.0,2921.9831285476685,59.77169076011919
main.ring_hold.gru,ring_hold,GRU,,,ring_hold,GRU,gru,3,"0,1,2",exp88_manifold_main_results/ring_hold_gru_seed*.json,exp88_manifold_main_results/ring_hold_gru_seed0.json;exp88_manifold_main_results/ring_hold_gru_seed1.json;exp88_manifold_main_results/ring_hold_gru_seed2.json,0.0023782262190555534,0.000946215779754918,0.01390049202988545,0.006436110756074045,0.014879118030269941,0.0015444006754816672,0.007101173046976328,0.0027712622244649328,,,,,36290.0,0.0,928.4837540785471,6.332850058696893
main.ring_hold.lru,ring_hold,LRU,full,,ring_hold,LRU full,lru,3,"0,1,2",exp88_manifold_main_results/ring_hold_lru_seed*.json,exp88_manifold_main_results/ring_hold_lru_seed0.json;exp88_manifold_main_results/ring_hold_lru_seed1.json;exp88_manifold_main_results/ring_hold_lru_seed2.json,0.030252944057186443,0.004441803021591828,1.46487158536911,0.5539182969603865,1.1040255626042683,0.2836295900172958,1.1040886243184407,0.2859962390446493,13.333333333333334,2.309401076758503,91.4361801147461,0.21384955699856187,56930.0,0.0,3889.78223323822,149.96021375148698
main.ring_hold.lstm,ring_hold,LSTM,,,ring_hold,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/ring_hold_lstm_seed*.json,exp88_manifold_main_results/ring_hold_lstm_seed0.json;exp88_manifold_main_results/ring_hold_lstm_seed1.json;exp88_manifold_main_results/ring_hold_lstm_seed2.json,0.09637424598137538,0.02499392345276657,0.41563881436983746,0.09544339853844716,0.26748711864153546,0.06535679217801724,0.26909881830215454,0.06616895357438399,,,,,46274.0,0.0,1173.1418441931407,34.76448956225539
main.ring_hold.ssm,ring_hold,SSM,diagonal,,ring_hold,SSM,ssm,3,"0,1,2",exp88_manifold_main_results/ring_hold_ssm_seed*.json,exp88_manifold_main_results/ring_hold_ssm_seed0.json;exp88_manifold_main_results/ring_hold_ssm_seed1.json;exp88_manifold_main_results/ring_hold_ssm_seed2.json,0.12815122803052267,0.047183759369926935,0.7306983669598898,0.008279175230126872,0.7160789966583252,0.012475718260644014,0.7163583834966024,0.013378529659150136,4.0,1.0,90.99584197998047,0.2929102422983161,7106.0,0.0,930.0654351711273,81.59816463334873
main.ring_hold.rnn,ring_hold,RNN,tanh,,ring_hold,RNN,rnn,3,"0,1,2",exp88_manifold_main_results/ring_hold_rnn_seed*.json,exp88_manifold_main_results/ring_hold_rnn_seed0.json;exp88_manifold_main_results/ring_hold_rnn_seed1.json;exp88_manifold_main_results/ring_hold_rnn_seed2.json,0.1737164855003357,0.025081787080090494,0.2929624964793523,0.1900551856986324,0.24746543169021606,0.11186301940423486,0.24540726840496063,0.11853040997397779,,,,,16322.0,0.0,892.3814311027527,13.216178639108916
main.ring_integrate.ca_lru,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed2.json,0.0021815363434143364,0.0020369979683846104,0.0021815363434143364,0.0020369979683846104,0.016054279481371243,0.0011336060322172956,0.002159784004713098,0.0020220473814454407,6.0,1.0,6.011807123819987,0.9998064093871691,57026.0,0.0,4308.862833182017,140.56705191144405
main.ring_integrate.gru,ring_integrate,GRU,,,ring_integrate,GRU,gru,3,"0,1,2",exp88_manifold_main_results/ring_integrate_gru_seed*.json,exp88_manifold_main_results/ring_integrate_gru_seed0.json;exp88_manifold_main_results/ring_integrate_gru_seed1.json;exp88_manifold_main_results/ring_integrate_gru_seed2.json,0.019940244654814403,0.0043228594435729345,0.2536943256855011,0.0900517255995377,0.11118810375531514,0.03601037705047279,0.10251770416895549,0.032091053826796896,,,,,36290.0,0.0,2347.744677146276,249.35383113312616
main.ring_integrate.lru,ring_integrate,LRU,full,,ring_integrate,LRU full,lru,3,"0,1,2",exp88_manifold_main_results/ring_integrate_lru_seed*.json,exp88_manifold_main_results/ring_integrate_lru_seed0.json;exp88_manifold_main_results/ring_integrate_lru_seed1.json;exp88_manifold_main_results/ring_integrate_lru_seed2.json,0.05439049874742826,0.011754733794730785,0.9127265810966492,0.21365074499616135,0.8550821344057719,0.19211072094085366,0.8560737172762553,0.1902126821004952,20.0,4.58257569495584,91.31983439127605,0.518709442086417,56930.0,0.0,4792.113970677058,117.58897016705623
main.ring_integrate.lstm,ring_integrate,LSTM,,,ring_integrate,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/ring_integrate_lstm_seed*.json,exp88_manifold_main_results/ring_integrate_lstm_seed0.json;exp88_manifold_main_results/ring_integrate_lstm_seed1.json;exp88_manifold_main_results/ring_integrate_lstm_seed2.json,0.08619958907365799,0.030048706151974074,0.4042998055617015,0.1319622991091953,0.2563962439695994,0.08646668199838478,0.254839966694514,0.0848811995113358,,,,,46274.0,0.0,2384.7100871404014,35.83104047971186
