run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,seed_id,blank_steps,source_file,decoded_delta_deg,dist_to_nearest_clean,dist_to_target_clean,nearest_angle_error_deg
ring_transport.ca_lru,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,0,2000,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv,14.9873067618,0.0736231654882,0.0718903392553,0.14014618511
ring_transport.ca_lru,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,1,2000,analysis_exp88_ring_transport/ring_transport_seed1.csv,14.9630087924,0.0385953262448,0.0312725156546,0.14014618511
ring_transport.ca_lru,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,2,2000,analysis_exp88_ring_transport/ring_transport_seed2.csv,14.9200399493,0.023751065135,0.00951301679015,0.14014618511
ring_transport.input_only,ring_integrate,CA-LRU,input-only update,1e-4,ring_integrate,PAN-NW-full,am_lru_nw_eps1e-4,0,2000,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv,15.0395080854,1.2011102438,2.11682009697,11.890147935
ring_transport.input_only,ring_integrate,CA-LRU,input-only update,1e-4,ring_integrate,PAN-NW-full,am_lru_nw_eps1e-4,1,2000,analysis_exp88_ring_transport/ring_transport_seed1.csv,14.8451794849,1.17378115654,2.40808296204,11.640149351
ring_transport.input_only,ring_integrate,CA-LRU,input-only update,1e-4,ring_integrate,PAN-NW-full,am_lru_nw_eps1e-4,2,2000,analysis_exp88_ring_transport/ring_transport_seed2.csv,15.1694183,1.19926381111,2.72706484795,13.3901462692
ring_transport.linear,ring_integrate,CA-LRU,linear update,1e-4,ring_integrate,PAN-full,am_lru_eps1e-4,0,2000,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv,14.8807570874,1.21291875839,2.60030460358,12.140146519
ring_transport.linear,ring_integrate,CA-LRU,linear update,1e-4,ring_integrate,PAN-full,am_lru_eps1e-4,1,2000,analysis_exp88_ring_transport/ring_transport_seed1.csv,14.8908518424,1.28856623173,2.76203680038,12.390145103
ring_transport.linear,ring_integrate,CA-LRU,linear update,1e-4,ring_integrate,PAN-full,am_lru_eps1e-4,2,2000,analysis_exp88_ring_transport/ring_transport_seed2.csv,15.2318095167,1.0546990633,2.15431427956,12.140146519
ring_transport.gru,ring_integrate,GRU,,,ring_integrate,GRU,gru,0,2000,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv,24.7251845484,0.0737476050854,0.220820069313,9.10985606443
ring_transport.gru,ring_integrate,GRU,,,ring_integrate,GRU,gru,1,2000,analysis_exp88_ring_transport/ring_transport_seed1.csv,-4.22736073229,0.0779145136476,0.317159086466,17.1401455198
ring_transport.gru,ring_integrate,GRU,,,ring_integrate,GRU,gru,2,2000,analysis_exp88_ring_transport/ring_transport_seed2.csv,21.8120397578,0.00186095456593,0.118761375546,6.10985256586
ring_transport.lru,ring_integrate,LRU,full,,ring_integrate,LRU full,lru,0,2000,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv,14.866538718,5.82607698441,6.19720506668,21.6098535664
ring_transport.lru,ring_integrate,LRU,full,,ring_integrate,LRU full,lru,1,2000,analysis_exp88_ring_transport/ring_transport_seed1.csv,-108.686215526,12.3724937439,13.8234567642,117.390148252
ring_transport.lru,ring_integrate,LRU,full,,ring_integrate,LRU full,lru,2,2000,analysis_exp88_ring_transport/ring_transport_seed2.csv,167.200711163,7.24650144577,15.229259491,142.109860904
