run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,task_rmse_mean,task_rmse_sd,post_hold_1000_rmse_mean,post_hold_1000_rmse_sd,normal_kick_1x_recovery_500_rmse_mean,normal_kick_1x_recovery_500_rmse_sd,tangent_shift_recovery_500_rmse_mean,tangent_shift_recovery_500_rmse_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,trainable_parameter_count_mean,trainable_parameter_count_sd,wall_time_seconds_mean,wall_time_seconds_sd
rp_control.ring_hold.no_rp_linear,ring_hold,CA-LRU control,no RP (linear scaffold),,ring_hold,PAN-full,am_lru_eta0,3,"0,1,2",exp88_manifold_main_results/ring_hold_am_lru_eta0_seed*.json,exp88_manifold_main_results/ring_hold_am_lru_eta0_seed0.json;exp88_manifold_main_results/ring_hold_am_lru_eta0_seed1.json;exp88_manifold_main_results/ring_hold_am_lru_eta0_seed2.json,0.00931892761339744,0.0017991464496497273,0.4975680311520894,0.016366297715169457,0.2845891813437144,0.010444212809908563,0.2820767362912496,0.011157606668408917,9.0,0.0,91.1520004272461,0.0,38402.0,0.0,1909.8652068773906,81.5084756750044
rp_control.ring_hold.all_slow_linear,ring_hold,CA-LRU control,all-slow retention 0.999 (linear scaffold),,ring_hold,PAN-full,am_lru_allslow,3,"0,1,2",exp88_manifold_main_results/ring_hold_am_lru_allslow_seed*.json,exp88_manifold_main_results/ring_hold_am_lru_allslow_seed0.json;exp88_manifold_main_results/ring_hold_am_lru_allslow_seed1.json;exp88_manifold_main_results/ring_hold_am_lru_allslow_seed2.json,0.0029143926997979483,0.0014406187063790042,0.14019896586736044,0.01394455759509314,0.047056163350741066,0.006645533516976142,0.04227154329419136,0.006697291075669564,96.0,0.0,95.90399169921875,0.0,38402.0,0.0,2051.4539017677307,73.79483991621377
rp_control.ring_integrate.no_rp_linear,ring_integrate,CA-LRU control,no RP (linear scaffold),,ring_integrate,PAN-full,am_lru_eta0,3,"0,1,2",exp88_manifold_main_results/ring_integrate_am_lru_eta0_seed*.json,exp88_manifold_main_results/ring_integrate_am_lru_eta0_seed0.json;exp88_manifold_main_results/ring_integrate_am_lru_eta0_seed1.json;exp88_manifold_main_results/ring_integrate_am_lru_eta0_seed2.json,0.02240714120368163,0.0042257997640389134,0.5972691973050436,0.02549084243295174,0.3658888339996338,0.04856076078978626,0.3666829566160838,0.04546525174826792,9.0,0.0,91.1520004272461,0.0,38402.0,0.0,3211.807708263397,96.36370165868776
rp_control.ring_integrate.all_slow_linear,ring_integrate,CA-LRU control,all-slow retention 0.999 (linear scaffold),,ring_integrate,PAN-full,am_lru_allslow,3,"0,1,2",exp88_manifold_main_results/ring_integrate_am_lru_allslow_seed*.json,exp88_manifold_main_results/ring_integrate_am_lru_allslow_seed0.json;exp88_manifold_main_results/ring_integrate_am_lru_allslow_seed1.json;exp88_manifold_main_results/ring_integrate_am_lru_allslow_seed2.json,0.04285545522967974,0.0027028305158817477,0.2983478804429372,0.025630421346215227,0.16486749549706778,0.016484594691351957,0.1636259158452352,0.016461054907084494,96.0,0.0,95.90399169921875,0.0,38402.0,0.0,3284.021545648575,222.75276257109914
rp_control.ring_hold.aligned_rp,ring_hold,CA-LRU,aligned RP,3e-5,ring_hold,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed2.json,0.0016913972018907468,0.0004429101023710292,0.0016913972018907468,0.0004429101023710292,0.031565990298986435,0.0024531074085597103,0.0016866298004363973,0.0004384630882607164,3.0,0.0,16.315701802571613,0.08322013433983981,57026.0,0.0,2897.9606449604034,93.08672335684534
rp_control.ring_hold.fixed_permutation,ring_hold,CA-LRU,fixed-permutation RP scores,3e-5,ring_hold,PAN-RNW-full,camn_shufmatch_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_hold_camn_shufmatch_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_hold_camn_shufmatch_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_hold_camn_shufmatch_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_hold_camn_shufmatch_eps3e-5_seed2.json,0.004897507062802712,0.007866941406812131,0.0049652027276655035,0.007748924003193602,0.03272860124707222,0.001658856509601063,0.0049245448026340455,0.007833573682221253,11.333333333333334,3.511884584284246,24.88051986694336,2.7278334522504584,57026.0,0.0,3372.2717411518097,82.90516668835122
rp_control.ring_hold.fresh_shuffle,ring_hold,CA-LRU,freshly shuffled RP scores,3e-5,ring_hold,PAN-RNW-full,camn_shuffle_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_hold_camn_shuffle_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_hold_camn_shuffle_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_hold_camn_shuffle_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_hold_camn_shuffle_eps3e-5_seed2.json,0.0029662777330183112,0.003974197801772682,0.002992131863720715,0.003970061402244984,0.03116290643811226,0.004649182705419064,0.002989775797080559,0.0039642481456954835,94.66666666666667,1.5275252316519468,95.88802591959636,0.14533644250585737,57026.0,0.0,3341.4749229749045,28.642987445422577
rp_control.ring_integrate.aligned_rp,ring_integrate,CA-LRU,aligned RP,3e-5,ring_integrate,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed2.json,0.0048619529892069595,0.003783333298313464,0.0048619529892069595,0.003783333298313464,0.01699190524717172,0.0021385883842259244,0.004854471966003378,0.003789274584410181,6.333333333333333,1.1547005383792515,19.180632909138996,0.7690593684154966,57026.0,0.0,4199.035535494487,166.24010682654702
rp_control.ring_integrate.fixed_permutation,ring_integrate,CA-LRU,fixed-permutation RP scores,3e-5,ring_integrate,PAN-RNW-full,camn_shufmatch_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_camn_shufmatch_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_integrate_camn_shufmatch_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_integrate_camn_shufmatch_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_integrate_camn_shufmatch_eps3e-5_seed2.json,0.009474427904933691,0.0035053816295992,0.03275379197051128,0.04062664595955065,0.02752176858484745,0.020298416115741614,0.02236927238603433,0.022651928416210637,14.666666666666666,3.055050463303893,28.014009475708008,2.8231116928153375,57026.0,0.0,4453.473825613658,193.0952724782106
rp_control.ring_integrate.fresh_shuffle,ring_integrate,CA-LRU,freshly shuffled RP scores,3e-5,ring_integrate,PAN-RNW-full,camn_shuffle_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_camn_shuffle_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_integrate_camn_shuffle_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_integrate_camn_shuffle_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_integrate_camn_shuffle_eps3e-5_seed2.json,0.011448714726914963,0.007037034964986508,0.011413068821032843,0.0069798050209200265,0.021347229679425556,0.00414991010339502,0.011360421466330687,0.00695098716032306,95.0,1.0,95.74176534016927,0.24279207686558438,57026.0,0.0,4400.9612208207445,135.19047924278533
