run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,task_rmse_mean,task_rmse_sd,post_hold_1000_rmse_mean,post_hold_1000_rmse_sd,normal_kick_1x_recovery_500_rmse_mean,normal_kick_1x_recovery_500_rmse_sd,tangent_shift_recovery_500_rmse_mean,tangent_shift_recovery_500_rmse_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,trainable_parameter_count_mean,trainable_parameter_count_sd,wall_time_seconds_mean,wall_time_seconds_sd
update_ablation.ring_integrate.state_dependent,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed2.json,0.0021815363434143364,0.0020369979683846104,0.0021815363434143364,0.0020369979683846104,0.016054279481371243,0.0011336060322172956,0.002159784004713098,0.0020220473814454407,6.0,1.0,6.011807123819987,0.9998064093871691,57026.0,0.0,4308.862833182017,140.56705191144405
update_ablation.ring_integrate.input_only,ring_integrate,CA-LRU,input-only update,1e-4,ring_integrate,PAN-NW-full,am_lru_nw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_nw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_nw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_nw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_nw_eps1e-4_seed2.json,0.005833909070740144,0.000641528752846061,0.005833909070740144,0.000641528752846061,0.01907970818380515,0.00032428915296432427,0.0059360031348963576,0.00048022659570274553,5.0,1.0,5.0117166837056475,0.9998340666426262,47618.0,0.0,3657.00519045194,289.4635375849965
update_ablation.ring_integrate.linear,ring_integrate,CA-LRU,linear update,1e-4,ring_integrate,PAN-full,am_lru_eps1e-4,3,"0,1,2",exp88_manifold_main_results/ring_integrate_am_lru_eps1e-4_seed*.json,exp88_manifold_main_results/ring_integrate_am_lru_eps1e-4_seed0.json;exp88_manifold_main_results/ring_integrate_am_lru_eps1e-4_seed1.json;exp88_manifold_main_results/ring_integrate_am_lru_eps1e-4_seed2.json,0.007380915340036154,0.0031173157273362735,0.007380915340036154,0.0031173157273362735,0.024561793853839237,0.0002870898341422541,0.007326235218594472,0.003220707359150178,5.333333333333333,0.5773502691896257,5.345154285430908,0.5771688451327723,38402.0,0.0,3347.8262758255005,116.61783984138708
update_ablation.torus_integrate.state_dependent,torus_integrate,CA-LRU,state-dependent update,3e-5,torus_integrate,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps3e-5_seed2.json,0.006903599637250106,0.00078854703652639,0.0069035994820296764,0.0007885470788962514,0.023649930953979492,0.003940096098915134,0.006918080461521943,0.0007597570009468386,6.0,0.0,18.81175931294759,0.10145235218117703,57507.0,0.0,4612.330351750056,146.58206277976015
update_ablation.torus_integrate.input_only,torus_integrate,CA-LRU,input-only update,3e-5,torus_integrate,PAN-NW-full,am_lru_nw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/torus_integrate_am_lru_nw_eps3e-5_seed*.json,exp88_writer_sweep_results/torus_integrate_am_lru_nw_eps3e-5_seed0.json;exp88_writer_sweep_results/torus_integrate_am_lru_nw_eps3e-5_seed1.json;exp88_writer_sweep_results/torus_integrate_am_lru_nw_eps3e-5_seed2.json,0.015149755713840326,0.005165321465271086,0.015149755713840326,0.005165321465271086,0.028346536060174305,0.004345479695726966,0.015363948730130991,0.005051236928764058,8.0,0.0,20.281853993733723,0.023028989673232077,48099.0,0.0,11362.246996164322,206.99056688335847
update_ablation.torus_integrate.linear,torus_integrate,CA-LRU,linear update,3e-5,torus_integrate,PAN-full,am_lru_eps3e-5,3,"0,1,2",exp88_manifold_main_results/torus_integrate_am_lru_eps3e-5_seed*.json,exp88_manifold_main_results/torus_integrate_am_lru_eps3e-5_seed0.json;exp88_manifold_main_results/torus_integrate_am_lru_eps3e-5_seed1.json;exp88_manifold_main_results/torus_integrate_am_lru_eps3e-5_seed2.json,0.01745124285419782,0.0039841509412780534,0.01745124285419782,0.0039841509412780534,0.03159653892119726,0.0021798642309607368,0.017317875288426876,0.004104452934305477,7.0,1.0,19.487843831380207,0.6878521552473751,38883.0,0.0,4789.256338993709,1799.9588528397094
update_ablation.complex_curve_integrate.state_dependent,complex_curve_integrate,CA-LRU,state-dependent update,1e-4,complex_curve_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed2.json,0.003623959065104524,0.0006355734075252919,0.003623959065104524,0.0006355734075252919,0.011869709938764572,0.0003002241270750305,0.0033842361687372127,0.0003646171022644983,6.666666666666667,1.1547005383792515,6.678342978159587,1.154431705946211,57219.0,0.0,4247.641475915909,211.09421556635368
update_ablation.complex_curve_integrate.input_only,complex_curve_integrate,CA-LRU,input-only update,1e-4,complex_curve_integrate,PAN-NW-full,am_lru_nw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/complex_curve_integrate_am_lru_nw_eps1e-4_seed*.json,exp88_writer_sweep_results/complex_curve_integrate_am_lru_nw_eps1e-4_seed0.json;exp88_writer_sweep_results/complex_curve_integrate_am_lru_nw_eps1e-4_seed1.json;exp88_writer_sweep_results/complex_curve_integrate_am_lru_nw_eps1e-4_seed2.json,0.014699480185906092,0.002267351585757004,0.014699480185906092,0.002267351585757004,0.019814366474747658,0.0012543250040652823,0.0150904580950737,0.003580597991481365,6.666666666666667,0.5773502691896257,6.67812458674113,0.5772226679922756,47811.0,0.0,3870.6252488295236,140.39126602295894
update_ablation.complex_curve_integrate.linear,complex_curve_integrate,CA-LRU,linear update,1e-4,complex_curve_integrate,PAN-full,am_lru_eps1e-4,3,"0,1,2",exp88_manifold_main_results/complex_curve_integrate_am_lru_eps1e-4_seed*.json,exp88_manifold_main_results/complex_curve_integrate_am_lru_eps1e-4_seed0.json;exp88_manifold_main_results/complex_curve_integrate_am_lru_eps1e-4_seed1.json;exp88_manifold_main_results/complex_curve_integrate_am_lru_eps1e-4_seed2.json,0.018515330428878467,0.0029309844122938087,0.018515330428878467,0.0029309844122938087,0.02582573952774207,0.002524591409885014,0.01837099964420001,0.0035864668584107565,6.0,1.0,6.011643886566162,0.9998056897627857,38595.0,0.0,3579.8439536094666,226.2898982138728
update_ablation.surface_integrate.state_dependent,surface_integrate,CA-LRU,state-dependent update,3e-5,surface_integrate,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed2.json,0.00805710939069589,0.0017732041435312128,0.00805710939069589,0.0017732041435312128,0.023316414405902226,0.0011032521009716881,0.007959841284900904,0.001479919406841982,4.333333333333333,0.5773502691896257,17.329853693644207,0.3477322573822227,57123.0,0.0,7437.690596262614,2306.029414502917
