model,model_label,topology,selection_regime,seed_count,task_success_count,blank_diverged_count,parameters_total_median,parameters_total_min,parameters_total_max,validation_nmse_db_median,validation_nmse_db_min,validation_nmse_db_max,test_error_normalized_median,test_error_normalized_min,test_error_normalized_max,test_error_rad_median,test_error_rad_min,test_error_rad_max,blank4096_error_normalized_median,blank4096_error_normalized_min,blank4096_error_normalized_max,fiber_ratio_median,fiber_ratio_min,fiber_ratio_max,local_rank_full_fraction_median,local_rank_full_fraction_min,local_rank_full_fraction_max,far_collapse_fraction_median,far_collapse_fraction_min,far_collapse_fraction_max,endpoint_pca_participation_ratio_median,endpoint_pca_participation_ratio_min,endpoint_pca_participation_ratio_max,one_step_tangent_gain_median,one_step_tangent_gain_min,one_step_tangent_gain_max,one_step_normal_gain_median,one_step_normal_gain_min,one_step_normal_gain_max,finite128_tangent_gain_mean_median,finite128_tangent_gain_mean_min,finite128_tangent_gain_mean_max,finite128_normal_gain_mean_median,finite128_normal_gain_mean_min,finite128_normal_gain_mean_max,recovery_q512_median_median,recovery_q512_median_min,recovery_q512_median_max,same_memory_error512_mean_median,same_memory_error512_mean_min,same_memory_error512_mean_max,topology_radial_hidden_q512_median,topology_radial_hidden_q512_min,topology_radial_hidden_q512_max,topology_radial_output_q512_median,topology_radial_output_q512_min,topology_radial_output_q512_max,topology_radial_same_memory_error512_median,topology_radial_same_memory_error512_min,topology_radial_same_memory_error512_max
rnn,RNN,s1,ring-selected zero-retuning,3,1,0,17154.0,17154.0,17154.0,-18.15049934387207,-20.26536750793457,-7.195161819458008,0.026737049221992493,0.021273290738463402,0.10433018207550049,0.08399691741448032,0.06683201390163641,0.32776293355607783,0.29389625787734985,0.2781677842140198,0.3578342795372009,0.659858276264693,0.11213812113754053,0.676656800055403,1.0,1.0,1.0,0.0,0.0,0.0,2.164557986749758,1.006575128682141,2.201905914160532,1.0008624792099,0.9909515380859375,1.0032484531402588,0.895153820514679,0.8943607807159424,0.9024160504341125,1.620668649673462,1.393634557723999,1.7209333181381226,0.367965430021286,0.22973427176475525,0.381419837474823,0.026033369824290276,0.0,0.02739160880446434,0.0032808349933475256,0.0031377056147903204,0.02091824635863304,0.026026757434010506,0.0,0.02999812737107277,0.001045483979396522,0.0004907312104478478,0.0020235576666891575,0.008442101068794727,0.005307585000991821,0.02602236531674862
gru,GRU,s1,ring-selected zero-retuning,3,3,0,50818.0,50818.0,50818.0,-28.615108489990234,-31.131994247436523,-27.363937377929688,0.00842565018683672,0.005637266207486391,0.009202404879033566,0.026469960728683704,0.01770999410376924,0.02891020756333072,0.33382707834243774,0.14589998126029968,0.4691162109375,0.23936270060168324,0.23687850697743038,0.24228321335624203,1.0,1.0,1.0,0.0,0.0,0.0,1.9867058203139871,1.9834677057043921,2.0067597530579344,0.99211585521698,0.9892948269844055,0.992585301399231,0.5157490968704224,0.5140068531036377,0.5191044807434082,1.0436184406280518,1.0252515077590942,1.0547711849212646,0.1190817803144455,0.11868704855442047,0.1250409036874771,0.030878566205501556,0.029402729123830795,0.03130047768354416,0.001798419514670968,0.0017974867951124907,0.0019487382378429174,0.030357390642166138,0.028271004557609558,0.032326992601156235,0.0006919107399880886,0.0006725013954564929,0.0009034483227878809,0.002718660980463028,0.002681393176317215,0.0038263110909610987
lstm,LSTM,s1,ring-selected zero-retuning,3,3,0,17538.0,17538.0,17538.0,-30.938514709472656,-33.77628707885742,-30.573257446289062,0.006269797682762146,0.004610184580087662,0.006380063481628895,0.019697150339659866,0.014483322008496344,0.020043560563321853,0.20171017944812775,0.19528129696846008,0.3621865510940552,0.17132493580131114,0.17013444710591544,0.17296657820259562,1.0,1.0,1.0,0.0,0.0,0.0,2.154886097197071,2.1446619842414143,2.1803536020153222,0.9931048154830933,0.9895802736282349,0.9939057230949402,0.47903239727020264,0.47784173488616943,0.48331350088119507,1.0216368436813354,1.0067883729934692,1.0227729082107544,0.0919303297996521,0.08798452466726303,0.09251214563846588,0.027650685980916023,0.026203151792287827,0.02809887006878853,0.0013382910983636975,0.0012966763461008668,0.0013900098856538534,0.029799435287714005,0.027699150145053864,0.029995091259479523,0.000331991002894938,0.0002934068033937365,0.0004277224070392549,0.002238520188257098,0.0020134428050369024,0.0029980740509927273
calru,CA-LRU,s1,topology-specific validation-selected,3,3,0,17058.0,17058.0,17058.0,-23.954469680786133,-37.19720458984375,-22.481430053710938,0.015997163951396942,0.0028484310023486614,0.018210720270872116,0.0502565727479801,0.008948609911235965,0.05721066501955057,0.02043241262435913,0.003930835053324699,0.02517789788544178,0.15323747803460794,0.13034593380706863,0.19921988621524395,1.0,1.0,1.0,0.0,0.0,0.0,2.0081019232529744,1.9836011275194774,2.025620872736059,0.9936046004295349,0.9908173084259033,0.9959332346916199,0.7408750057220459,0.7402492761611938,0.7541791200637817,0.9897885322570801,0.9834091663360596,0.9900723695755005,0.2650485932826996,0.2640342712402344,0.2987793982028961,0.25753337144851685,0.2566526532173157,0.2950906753540039,0.00041070254519581795,0.0003602064389269799,0.0005365739343687892,0.4050709009170532,0.20963460206985474,0.4721391201019287,0.13917744159698486,0.0421750433743,0.21655412018299103,0.0004780222079716623,0.00034647880238480866,0.0009341027471236885
hc,H-C,s1,topology-specific validation-selected,3,3,0,22570.0,22570.0,22570.0,-31.640151977539062,-33.43672180175781,-20.050928115844727,0.005348164588212967,0.004122708924114704,0.01843670755624771,0.016801754580518937,0.012951872068887834,0.05792062501509124,0.15127083659172058,0.13835789263248444,0.15299953520298004,0.3692996547923324,0.30378274139974504,0.548400645919932,1.0,1.0,1.0,0.0,0.0,0.0,2.0184925328139127,1.9641155687596996,2.057201775267064,0.989301323890686,0.9856927394866943,0.990406334400177,0.7459748983383179,0.6966632604598999,0.7872549295425415,1.1893446445465088,1.1844723224639893,1.3426685333251953,0.21276453137397766,0.16013175249099731,0.24972018599510193,0.08512132614850998,0.05635639652609825,0.13679081201553345,0.0013205748982727528,0.0013090625870972872,0.0019140936201438308,0.12446050345897675,0.08229564875364304,0.5347381830215454,0.007981371134519577,0.0012815010268241167,0.04789632931351662,0.002311708638444543,0.0021120011806488037,0.005507522262632847
rnn,RNN,t2,ring-selected zero-retuning,3,0,0,17796.0,17796.0,17796.0,-9.567566871643066,-14.775938034057617,-7.391536712646484,0.08266670256853104,0.04318700730800629,0.11650124192237854,0.25970510548578957,0.13567598488936125,0.36599944575743165,0.48801732063293457,0.44120556116104126,0.565502405166626,0.6311972179305532,0.5920824067420336,0.6660469323674687,1.0,1.0,1.0,0.0,0.0,0.00024506800637176816,4.358738546409881,2.93216845991495,4.483252761400285,0.9257307648658752,0.8617834448814392,0.9645047187805176,0.88921058177948,0.8882523775100708,0.8966713547706604,1.2941269874572754,1.2017757892608643,1.3625038862228394,0.6362447142601013,0.6093310117721558,0.8278508186340332,0.5044751763343811,0.33817458152770996,0.5700167417526245,0.015261409804224968,0.006338751874864101,0.02207433432340622,0.5787787437438965,0.4132124185562134,0.595403790473938,0.020923899486660957,0.010648156516253948,0.022269271314144135,0.03143791854381561,0.009803308174014091,0.03273880109190941
gru,GRU,t2,ring-selected zero-retuning,3,3,0,51716.0,51716.0,51716.0,-24.640911102294922,-25.07353973388672,-24.554719924926758,0.01271441113203764,0.012376618571579456,0.01330607756972313,0.039943500607129735,0.038882293980757016,0.04180227554113811,0.3759673237800598,0.2853781580924988,0.39412230253219604,0.25658662823640993,0.25240557367817784,0.2610592403397759,1.0,1.0,1.0,0.0,0.0,0.0,4.037950919854006,4.024086271915288,4.041669848451219,0.9998267292976379,0.9960827827453613,0.9999250173568726,0.5091686248779297,0.5065966844558716,0.5102547407150269,1.0406372547149658,1.018646001815796,1.05430006980896,0.16659311950206757,0.165938138961792,0.17559340596199036,0.14609643816947937,0.13797087967395782,0.16041669249534607,0.0026195989921689034,0.0025154862087219954,0.0030010053887963295,0.22210174798965454,0.21548393368721008,0.23345685005187988,0.0027266894467175007,0.0022683534771203995,0.00325355539098382,0.004221367184072733,0.004086170345544815,0.004253127612173557
lstm,LSTM,t2,ring-selected zero-retuning,3,3,0,18180.0,18180.0,18180.0,-25.581893920898438,-27.136327743530273,-25.092971801757812,0.012513681314885616,0.010399287566542625,0.01288391463458538,0.039312889288208516,0.03267032542161799,0.04047601156549146,0.4427586793899536,0.3550170063972473,0.45445913076400757,0.2085399817455668,0.20852095077251112,0.2111694430900272,1.0,1.0,1.0,0.0,0.0,0.0,4.319887726234176,4.276736917640412,4.358428761288584,0.9990259408950806,0.9983887672424316,1.0021294355392456,0.5113639831542969,0.5103460550308228,0.5127420425415039,1.026341438293457,1.0223344564437866,1.0464093685150146,0.129361093044281,0.12825751304626465,0.13413845002651215,0.0999479591846466,0.09887043386697769,0.10774196684360504,0.0021335307974368334,0.0020236836280673742,0.0021850294433534145,0.1357700228691101,0.1325700581073761,0.13954591751098633,0.0012525776401162148,0.0009800877887755632,0.0013258053222671151,0.0027960692532360554,0.002735888585448265,0.00284780515357852
calru,CA-LRU,t2,topology-specific validation-selected,3,3,0,17320.0,17320.0,17320.0,-31.3701229095459,-34.45299530029297,-26.387298583984375,0.006228702142834663,0.0041925907135009766,0.011161462403833866,0.01956804489332838,0.013171412185043457,0.03506476829120315,0.009227702394127846,0.006659193895757198,0.015559040009975433,0.07268518098117059,0.07216422157527179,0.08554159984090526,1.0,1.0,1.0,0.0,0.0,0.0,3.960867956076146,3.9587288020214912,3.9633090582516464,0.9994140267372131,0.9991952180862427,0.9996209740638733,0.7515237331390381,0.7508504986763,0.7526790499687195,0.9985603094100952,0.9984173774719238,0.9986690878868103,0.33159899711608887,0.3027769923210144,0.3369166851043701,0.3306517004966736,0.2983147203922272,0.3360211253166199,0.00043854699470102787,0.00041092041647061706,0.000447369267931208,0.44393521547317505,0.38797882199287415,0.585192084312439,0.20471416413784027,0.18542368710041046,0.35942313075065613,0.0005034107016399503,0.0004878806066699326,0.000576111429836601
hc,H-C,t2,topology-specific validation-selected,3,3,0,22832.0,22832.0,22832.0,-27.29117202758789,-28.25261688232422,-22.317888259887695,0.010213563218712807,0.008682896383106709,0.017195679247379303,0.03208685517488308,0.02727812348904942,0.05402181959705328,0.21790748834609985,0.2122000902891159,0.2273237556219101,0.33304766168886524,0.305174934591064,0.3339848822016456,1.0,1.0,1.0,0.0,0.0,0.0,3.9915608701527394,3.9669026314130464,4.015188117536412,0.9994640350341797,0.9970399141311646,0.9998195171356201,0.90191650390625,0.8797092437744141,0.9047127962112427,1.1776249408721924,1.1220794916152954,1.3172786235809326,0.44807469844818115,0.39677977561950684,0.6616188287734985,0.491329550743103,0.35328763723373413,0.6155617237091064,0.003192418022081256,0.0025052379351109266,0.006946093402802944,0.5314884185791016,0.4243333339691162,0.8956471681594849,0.04522585868835449,0.02720208838582039,0.21571356058120728,0.004377736710011959,0.0036501572467386723,0.012655625119805336
