all_finite,anchors,hidden_recovery_q512_median,job_id,kick_radius_relative,model,output_radial_recovery_q512_median,same_memory_error512_mean,seed,signed_kick_directions,state_scale,topology,topology_radial_dimensions,selection_regime,source_analysis
True,128,0.032326992601156235,pilot__gru__s1__seed10,0.05,gru,0.0009034483227878809,0.002718660980463028,10,2,2.4168295860290527,s1,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.030357390642166138,pilot__gru__s1__seed11,0.05,gru,0.0006919107399880886,0.002681393176317215,11,2,2.44998836517334,s1,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.028271004557609558,pilot__gru__s1__seed12,0.05,gru,0.0006725013954564929,0.0038263110909610987,12,2,2.417835235595703,s1,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.20030811429023743,pilot__gru__s2__seed10,0.05,gru,0.001913808286190033,0.0043538594618439674,10,2,3.242785692214966,s2,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.0,pilot__gru__s2__seed11,0.05,gru,0.015316436067223549,0.0008741519413888454,11,2,0.20183420181274414,s2,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.0,pilot__gru__s2__seed12,0.05,gru,0.014172764495015144,0.008511273190379143,12,2,1.7141058444976807,s2,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.22210174798965454,pilot__gru__t2__seed10,0.05,gru,0.0027266894467175007,0.004086170345544815,10,4,3.111016035079956,t2,2,ring-selected zero-retuning,baseline_all_v2
True,128,0.23345685005187988,pilot__gru__t2__seed11,0.05,gru,0.00325355539098382,0.004253127612173557,11,4,3.202944040298462,t2,2,ring-selected zero-retuning,baseline_all_v2
True,128,0.21548393368721008,pilot__gru__t2__seed12,0.05,gru,0.0022683534771203995,0.004221367184072733,12,4,3.166224241256714,t2,2,ring-selected zero-retuning,baseline_all_v2
True,128,0.029995091259479523,pilot__lstm__s1__seed10,0.05,lstm,0.000331991002894938,0.002238520188257098,10,2,2.9122800827026367,s1,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.029799435287714005,pilot__lstm__s1__seed11,0.05,lstm,0.0004277224070392549,0.0029980740509927273,11,2,3.1085896492004395,s1,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.027699150145053864,pilot__lstm__s1__seed12,0.05,lstm,0.0002934068033937365,0.0020134428050369024,12,2,3.0732433795928955,s1,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.08338599652051926,pilot__lstm__s2__seed10,0.05,lstm,0.00024685062817297876,0.0018205479718744755,10,2,2.8005807399749756,s2,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.10421937704086304,pilot__lstm__s2__seed11,0.05,lstm,0.0005508882459253073,0.002155699534341693,11,2,2.9091384410858154,s2,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.08753274381160736,pilot__lstm__s2__seed12,0.05,lstm,0.000295076344627887,0.001836092327721417,12,2,2.777632474899292,s2,1,ring-selected zero-retuning,baseline_all_v2
True,128,0.13954591751098633,pilot__lstm__t2__seed10,0.05,lstm,0.0013258053222671151,0.002735888585448265,10,4,2.8717901706695557,t2,2,ring-selected zero-retuning,baseline_all_v2
True,128,0.1325700581073761,pilot__lstm__t2__seed11,0.05,lstm,0.0009800877887755632,0.0027960692532360554,11,4,2.7797203063964844,t2,2,ring-selected zero-retuning,baseline_all_v2
True,128,0.1357700228691101,pilot__lstm__t2__seed12,0.05,lstm,0.0012525776401162148,0.00284780515357852,12,4,2.816878080368042,t2,2,ring-selected zero-retuning,baseline_all_v2
