job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.5009573698043823,combined,combined_h1024_x1p5,"T=1024, 1.5x",T1024_1.5x,,variable_sparsity,0.9518109560012817,True,1.0,1.4864857196807861,1024,1.5106987953186035,1.3905384540557861,0.5085281133651733,1.466907024383545,1.3924975395202637,1.4438668489456177,1.4177334308624268,1.4622788429260254,1.2899696826934814,1.2830508947372437,1.466907024383545,1.3578208684921265,1.664917230606079,1.5
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.5242632627487183,combined,combined_h1024_x2,"T=1024, 2.0x",T1024_2.0x,,variable_sparsity,1.0936180353164673,True,1.0,1.537050485610962,1024,1.532437801361084,1.442566156387329,0.5599080920219421,1.4233601093292236,1.3281158208847046,1.497802734375,1.460968255996704,1.471450924873352,1.3710129261016846,1.3570741415023804,1.4233601093292236,1.4237706661224365,1.6842684745788574,2.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.04036148265004158,dwell,dwell_block64,64-step middle blank,middle_blank_64,,variable_sparsity,0.15751318633556366,True,1.0,1.1519736051559448,128,0.2373909205198288,0.18793027102947235,0.09662027657032013,0.27210551500320435,0.15295076370239258,0.4951316714286804,0.2874119281768799,0.7004565000534058,0.5149340629577637,0.16896691918373108,0.27210551500320435,0.10870669782161713,0.3555508852005005,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.12647974491119385,dwell,dwell_dense,dense,dense,,dense,,True,1.0,1.4443029165267944,128,0.7090451717376709,0.3942154049873352,0.2626822292804718,0.8189749717712402,0.39141416549682617,1.015017032623291,0.6455106735229492,1.142702579498291,0.8686387538909912,0.3942154049873352,0.8189749717712402,0.19076170027256012,1.0630970001220703,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.013497501611709595,dwell,dwell_p0p25,active p=0.25,0.25,,fixed_probability,0.0989990159869194,True,1.0,0.9348552227020264,128,0.13130439817905426,0.10538545995950699,0.06075446307659149,0.14354777336120605,0.09650778025388718,0.337898313999176,0.23017644882202148,0.583031952381134,0.4250175952911377,0.1006065309047699,0.14354777336120605,0.0774010717868805,0.1739954650402069,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.04040943831205368,dwell,dwell_p0p50,active p=0.50,0.5,,fixed_probability,0.1662011742591858,True,1.0,1.2523558139801025,128,0.27188095450401306,0.17156152427196503,0.11553111672401428,0.32260072231292725,0.15770387649536133,0.6730025410652161,0.3288440704345703,0.8651127219200134,0.5528147220611572,0.16890621185302734,0.32260072231292725,0.09839509427547455,0.2888485789299011,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.08020588010549545,dwell,dwell_p0p75,active p=0.75,0.75,,fixed_probability,0.2719932496547699,True,1.0,1.375307321548462,128,0.49213752150535583,0.2771793007850647,0.19036361575126648,0.5644983649253845,0.27352166175842285,0.9728124141693115,0.6315462589263916,1.1133437156677246,0.8894851207733154,0.27588897943496704,0.5644983649253845,0.13994422554969788,0.803307056427002,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.08698588609695435,id,id_h128,ID T=128,128,,variable_sparsity,0.1702309250831604,True,1.0,1.2498135566711426,128,0.530730128288269,0.3329409062862396,0.19578173756599426,0.5787745118141174,0.23253321647644043,0.829168438911438,0.43712377548217773,0.9825702905654907,0.6745877265930176,0.2928890585899353,0.5787745118141174,0.14190015196800232,0.888630211353302,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.49330946803092957,length,length_h1024,T=1024,1024,,variable_sparsity,0.8572716116905212,True,1.0,1.4843645095825195,1024,1.4597089290618896,1.2848396301269531,0.4150662422180176,1.5432230234146118,1.585101842880249,1.5130646228790283,1.4925997257232666,1.527151346206665,1.49257493019104,1.1800860166549683,1.5432230234146118,1.2524211406707764,1.672502040863037,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.5906444787979126,length,length_h2048,T=2048,2048,,variable_sparsity,1.119887351989746,True,1.0,1.5195776224136353,2048,1.5771520137786865,1.441653847694397,0.44319379329681396,1.4818272590637207,1.4540159702301025,1.5469883680343628,1.447988510131836,1.58759605884552,1.486975908279419,1.3627599477767944,1.4818272590637207,1.4162893295288086,1.7409076690673828,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.197292298078537,length,length_h256,T=256,256,,variable_sparsity,0.30913305282592773,True,1.0,1.345548152923584,256,0.9759253859519958,0.6606493592262268,0.29156559705734253,1.0974657535552979,0.8382704257965088,1.122159481048584,0.8792579174041748,1.203390121459961,1.0181610584259033,0.5745135545730591,1.0974657535552979,0.4719318151473999,1.2181706428527832,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.3589971661567688,length,length_h512,T=512,512,,variable_sparsity,0.571620523929596,True,1.0,1.435025930404663,512,1.3515417575836182,1.036849856376648,0.3748794198036194,1.4243345260620117,1.3891525268554688,1.506667137145996,1.503389596939087,1.5211769342422485,1.5242583751678467,0.9227750897407532,1.4243345260620117,0.9343756437301636,1.5222512483596802,1.0
