job_id,model,topology,seed,source_experiment_id,checkpoint_sha256,training_manifest_sha256,training_result_sha256
pilot__rnn__s1__seed10,rnn,s1,10,manifold_topology_transfer_v1-pilot-1f4a80d,d3a74493d229893159d2675951b1d8ad790d0eeb59b37ace61778ae54ee9481a,b6a910c063c47aff94a7449a58a5cc0024ad175ada577ebdd2c5b0f9ebfdc31f,19d4ef8ae4a375eb31abf1ee6659d97965f619dd223d8f6117486a7c50a36aad
pilot__rnn__s1__seed11,rnn,s1,11,manifold_topology_transfer_v1-pilot-1f4a80d,3ad1b421d7dfcfdb017bce9fc95e2e245dfaa4d94bd0de09bcc5720fa2f2d871,98bf14b5911b1a141edeb92e46daa1f8e5bf1af382d3820875204a8afe870077,427b437f0d54c99d3cae780025e5dfb1457e55f5a6cf5f81826776817315bc7e
pilot__rnn__s1__seed12,rnn,s1,12,manifold_topology_transfer_v1-pilot-1f4a80d,eeffe734e056bf2068397b33fd3d667d10adc4d3a3fc356d757b05f2d98ac2ff,8c5d8bd62608482bb935567237d06cad8b81957be27d1e10400adebf67e0652b,262f65a7bcad53fa689f449428f3f70dd4b7d231ab9e6d1eb000b91a2db5446e
pilot__gru__s1__seed10,gru,s1,10,manifold_topology_transfer_v1-pilot-1f4a80d,edefe8918c9fa25f7c4cc4d15029054ec702574614a2908d1de57a2fabd807bc,77680c87089ca97c2d1a686438af87e2cf0f46b5d68c42f9e68af57c8c4dac4d,0410c5df9b7f1319bdaf1d1cdc4a9820b7065d024afeeda26fb4f01097bbe65d
pilot__gru__s1__seed11,gru,s1,11,manifold_topology_transfer_v1-pilot-1f4a80d,d4b133795d556b7e7f1b9c3106339cc2398a42e074dd9c771328bf737221e498,7d88f4d1d381fd84f46b4a2674f54c9e87deaeb24b8eb86b59422a2312c03f30,c4a93f4edecdf5aa94f213b7aa3e146778d927c286352a003a86c9a6363f3922
pilot__gru__s1__seed12,gru,s1,12,manifold_topology_transfer_v1-pilot-1f4a80d,447124419ee95418ee0ace6eb69fd463ee6799f812b990a8507250d43ccf2340,79dd9c0abd8f8b65e55e83f32de42689db46b6d56c76706f4c54a48f542ae27a,15a818b37fd1b6f6b8a4dfe4e558e610bf9bae3ed9bccdf39908c486a1111917
pilot__lstm__s1__seed10,lstm,s1,10,manifold_topology_transfer_v1-pilot-1f4a80d,9af3a93a37e33e8da2f63a7c101e44048670b061b62ad21c4f23ed45c623ffba,12204023d959fe5c1c29581afb88d667ddb07c2012bad5b63345c092029cb70a,342f754768ed751c2bc11230b29f5be29d654b3e0722e9514f9ef2000e84af16
pilot__lstm__s1__seed11,lstm,s1,11,manifold_topology_transfer_v1-pilot-1f4a80d,99a6c03e210a29e43ed8b66c1cccfd20e4138113be2c026fad505d344260a5f1,0141830c941808ee82b01c88f2c1c3b0c2f59e2b0089e271c91a13c2b5b34790,f6f4494e1fa8c4f9f1e8445da7f07ddf4e9accf01bb170440939a26a78527719
pilot__lstm__s1__seed12,lstm,s1,12,manifold_topology_transfer_v1-pilot-1f4a80d,52e406c9c5263a8a8a9937e3a3fd6b11042f9e707d5199d4d49d535b9a0d6ee4,ad667cc88aeb5c484ce322cefe5b436e0cda9c08278f12ff7cea3ad5bd563c12,f73bf620fe3bb68e8a65badc29521778d7e5028bcd14485b765f5b036bafec10
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,manifold_topology_hparam_v1-c6dc758,ed98c71fda947fbf66332e381f5bc9aa09869987bb15c9b959e7686a0db046f1,ff1c115976cd94e8ae88e20d26dde8a1a91d54a5883afe2eeb5b4e97f1c00f6f,b7092106d45bc3ad01a335bb70d57f35f177d1fae480d9116f5a2769e09517a8
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,manifold_topology_hparam_v1-c6dc758,b1ca084ae8eb2809b4fca3d8323441877eee2d7685f6119df9b7040be30e0b9d,e63eb181c02a0ac999d1bd7fd1cc7eb76c30dbeb2cd28821327c4c1972a6776f,3adf6f3938752f0e802828c4f99fcdf5e364c062a7f82d23eda71ff8963ccac5
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,manifold_topology_hparam_v1-c6dc758,9e792b73406b21c0ad5bab7eba322c10491c62e38db33aebb02ae2c6f13106f5,1c4e336fa3f0a9f5641af092033ad7443e48c60321ceac08e734910f3b4a4897,cbd235104a2527f01887d9984585cd6c3b05ea6afcd6ebb0638a1ae63db1345b
pilot__rnn__t2__seed10,rnn,t2,10,manifold_topology_transfer_v1-pilot-1f4a80d,5384056dd194565698e2a94ea77d7cbfe8b08cea99959c10591318f9c70ba068,9e944fae7b43c334bae79300aecc866ec2efeba31ca97ef3dc3758792b0d4e72,f5ccd1213b7427c7d1418a0a6bc6e95491f1e5c7af37429f0d3fa6adb425e490
pilot__rnn__t2__seed11,rnn,t2,11,manifold_topology_transfer_v1-pilot-1f4a80d,ab600aa00193a021bcef1644f7124a219f8beb9bae015389366eeec6146e2db2,2abc52a96b8c9f385361c2e4de905cab1add7f235105c74d8da446867b9a2248,74f3f0f916f9479a1e318f802ccd42bd50e46d51f52ea29bde560c74f8564794
pilot__rnn__t2__seed12,rnn,t2,12,manifold_topology_transfer_v1-pilot-1f4a80d,95de85e46c582d5c63ac98aebed2f8d8715c11fc9ac39bc0bf0c38f82372e9bf,efe48e35daa4f14791fb34b4f85e7ee4338f3170782a03ac802e9f0d793c4659,3eea519905d0961a4c53b8606a9817ae2666ad767176afb4077eb536d95cdc72
pilot__gru__t2__seed10,gru,t2,10,manifold_topology_transfer_v1-pilot-1f4a80d,4c90b6c612d51a8c48a00e4f8d8af1430946f197d31e6e0391b2f25a876c0227,374109a79e8a311bcc362cf9b5e1404b113d94fe5ddeaf1a3c4c2c621f0723dc,59b171f7f4c9ca0a4d3ac6db6ad2b1064209940fe2d61a5e179cce488c4dfd43
pilot__gru__t2__seed11,gru,t2,11,manifold_topology_transfer_v1-pilot-1f4a80d,325066d1879d35a0f8478b9790bfb39f0bf7868ea7ef307d84575a790cade15e,6aa832a8ea95727ff432ee48726297bc12099e94a1ccb7cfd3aa6d3667080d2a,d599428f5c744a810ea1dc685ba6b6334523b976dd71ff12699827b122590bea
pilot__gru__t2__seed12,gru,t2,12,manifold_topology_transfer_v1-pilot-1f4a80d,6c34da3428686494774df7367e1d11e34b517c20c98e6a599812c443c4ea3446,72aa0990f2aa5386e4e2d39387ed4f8a618f8d18900b0bffc6ca6c811078d174,d4236778be8daba2ac393e637c2e08038a6eb23ae695f5b13ef78d3efb20446c
pilot__lstm__t2__seed10,lstm,t2,10,manifold_topology_transfer_v1-pilot-1f4a80d,4010644034366572215e523a8ceeccd2377c475bcf0a01a2f8b354cb5008a12c,07b69997e2c82e606a4db3376edf2dd93b5cfc6b974ae17fd513f4e9ab2f7aaf,5b954898d3071f15cfbe189a279cfdc515264d8dd49cb67beb19b8085c17c528
pilot__lstm__t2__seed11,lstm,t2,11,manifold_topology_transfer_v1-pilot-1f4a80d,8550eee626faa43f0afc81a107b3add1bd768fce9ea5a1f1b92f1198e79d77eb,c3e518d27fab3f428d4690e010c68174ac59e968a889e2d159eb66c06f4dc4ae,a6e223995825ece9cf2a2688df9b3da4e1f4cd7b614b272438b3c20271ad77b8
pilot__lstm__t2__seed12,lstm,t2,12,manifold_topology_transfer_v1-pilot-1f4a80d,3a750c97953ebd42530d76ed96c4585a175ac63c25de0c9509624119ad487103,69051c547cf9e7a9f9754108414a734cf67cf7d6739fd41cc3ec6e7e07016a2f,1296c400821432e45d5039692171d6ef8ebd534d2d624309d467733f39e5201f
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,manifold_topology_hparam_v1-c6dc758,e42d6f4aa31b66fbd818b85cf5c52f20e587c8bf3694289cd1d34c6edea6f76b,05e680453cfd1b849b9108c9669ce5beb90a38d5b882014343a7335bce424163,f5023b894d73ac38e14c1216d307787828a22cda13cea709b0694adc829d51a4
refine__calru__t2__lr0p01_eta1000_i50__seed11,calru,t2,11,manifold_topology_hparam_v1-c6dc758,c8d75e9ce85b8c085df68abf5ad585fecf87f867b9b0c61f0e3492aaf4829b4d,54fca6ddd93d0bfc8f0f790a56382286c84d328bcc5bb59747b1a56deea4a826,06c08eaa4c4c882b79727f74013cfbee119f5da156e0beab620e909658cbfee5
refine__calru__t2__lr0p01_eta1000_i50__seed12,calru,t2,12,manifold_topology_hparam_v1-c6dc758,856be8768935c2c5c2d27dbadc700098df1f30e755c15f66c71076a3a89ff61e,347693097df53ecf73a1c6a640ddcf3d8e79c1b6bee3d030a6ef0a19647ce83a,30523809ff403bb42f6d8559ef636406f5255c7a4627c2f24a791c7463c3fcdc
pilot__rnn__s2__seed10,rnn,s2,10,manifold_topology_transfer_v1-pilot-1f4a80d,1d0c5f24749d557bfc6a56f2d4d87ce0085d8aaa49d9928a8cae8d8b60f37b1c,f7949fe301f06853b009d91ff6c8cda2e8de9fb3d5fa5a13446b4414338a1959,5c4faa39c5e08a6cdc9a7da5a758f916ff7a5cabccaa9bafcf52ecdfd18ef542
pilot__rnn__s2__seed11,rnn,s2,11,manifold_topology_transfer_v1-pilot-1f4a80d,6b9e39e07aa89b6c90de75b7f33fded0a25e699ce95ea25f08c2859fdf374058,6c6730f3fbdef977956cc4773dae85f83a274d961a0bb3e6b64ec668b0921e1d,0627591dc5c2a7217f13dc8c09496abbfc4050475125db5ff255908dcbd4f15a
pilot__rnn__s2__seed12,rnn,s2,12,manifold_topology_transfer_v1-pilot-1f4a80d,43c51e0a46674c6fee2604888356978526204730fd47b0f41d17ca7a0f9911d7,de31b1e27c63cb3bd1570b61af8031dc15076bad69b36b1eb413d9f2d67b3088,84d4094be52932f2e1bb5db5e9aec2fa8b82ca0e910dc34790998dbed9ae60f7
pilot__gru__s2__seed10,gru,s2,10,manifold_topology_transfer_v1-pilot-1f4a80d,e9f16cf5330b6d8d1c4a4507af2d7437433dcb1e40178c475ed162159634cc2c,a03229b476c5ef0c567312744bcb7064260b66792c34befe1ea7da11cb86099a,0b304ae83305711280b3a92e7cca43893196cbf00c3dc2c9c191a2a6e7ad0b29
pilot__gru__s2__seed11,gru,s2,11,manifold_topology_transfer_v1-pilot-1f4a80d,e5c1233b41324f77291c5f43e50d96f2531ab762fb83c30b25568653c7ffb599,3897a5c31022f82ad9a588f28b68685a89324614af12be6b629e74da17a2316d,8d4fa2a44816c5566e6be2cddd606f1c9cbc84e45fe817f6cf1aaea6e49bda4c
pilot__gru__s2__seed12,gru,s2,12,manifold_topology_transfer_v1-pilot-1f4a80d,11f9774413b0e8afc0750c4094a8c57380ad207f8dffc7dd997c6dbb5c6c0cad,7c6485bc098df4bd8c74332d8484db3091266165c4789fed1b42bd1300aba0a4,46607a081a8d0ca2a52e511678d7bc15194910a9678ec9fcb78f5ad2deb3f0c6
pilot__lstm__s2__seed10,lstm,s2,10,manifold_topology_transfer_v1-pilot-1f4a80d,d6e92836ffeb921466788dd1a264418c43c127cf140ed37cc65f01299759f345,75b570663b48526f2835976567a5d3cff0903ed33b93180ce86ebdb9196ade60,606c925914da5a75b95bfff6ef188160204f0bc2caec85f4d9bcb5a6e8058b9c
pilot__lstm__s2__seed11,lstm,s2,11,manifold_topology_transfer_v1-pilot-1f4a80d,1d6b6f9a40427d7aee8afb7546aeb7999691df371cc7cc2884f14645922bd01d,56b4716fa303df586f9e3794dc9d6df87ac393a36717b4418cbc63f9aec833f3,ef17525cf7cf7a98bb7fbf43c9e2374d1b48eee1b21536051a2c362f84185a05
pilot__lstm__s2__seed12,lstm,s2,12,manifold_topology_transfer_v1-pilot-1f4a80d,27aaf23736eb9132023f0bd5b2a72662804fa38dc78f3d5215c26256e8ed63f3,7c545868b5c5d665ae343ed313ed6fbe85d40f445c84661afe3969a8a425c46a,20a9e124a6d284c17289818b34116bd8c39ff25ff7e0e9b16615424fca458b2e
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,manifold_topology_hparam_v1-c6dc758,96d825501f4b0bddab7b37b28f7a2c74e5f8fb7405c118959c80208acbd0e008,7d93f314ba249dda3f3825b95f1ace6f84e29b1e24d265fbe37ae2c48fe19de6,c65c0272b0972b69310f77c5abcc6968c94f9782ffe107a1bd129fa69bc6b7c1
refine__calru__s2__lr0p003_eta1000_i50__seed11,calru,s2,11,manifold_topology_hparam_v1-c6dc758,54bc497cf46e86dd12226364bcdf9094ca1d68e4ff4454468f8de74372276ce1,75960d26684774c71da7fdf5f4a5002b4c7d663411211f74eea6897dd80e557d,16985c3e62914152ac58ffd847166704e6ff8ddbe32d763e6811bdaf9e09f177
refine__calru__s2__lr0p003_eta1000_i50__seed12,calru,s2,12,manifold_topology_hparam_v1-c6dc758,3d4c613c291e40f5da3288f060a351d8c6d8714fc541a3b8e321a2bcfb57b104,68a137f507a35b89a38879ce5b350e9c45b08380c28edbd0d9240e8f06d9a3e7,c1e1b414d63054afd9d114c18bb0b0bedbd89843a1f58eabbfdadfa4f90cc361
