topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,eligible_seed_count,finite_seed_count,error_median_radians,error_min_radians,error_max_radians,chance_ratio_median,id_error_ratio_median,status
s1,rnn,RNN,id_h128,id,128,ID T=128,1,1,0.11344023048877716,0.11344023048877716,0.11344023048877716,0.09076572252178422,1.0,alive
s1,gru,GRU,id_h128,id,128,ID T=128,3,3,0.04036383330821991,0.025235623121261597,0.051323242485523224,0.03229588372823247,1.0,alive
s1,lstm,LSTM,id_h128,id,128,ID T=128,3,3,0.03582649677991867,0.022951949387788773,0.036489468067884445,0.028665473012904376,1.0,alive
s1,calru,CA-LRU,id_h128,id,128,ID T=128,3,3,0.06592370569705963,0.012165084481239319,0.08009782433509827,0.05274683199360256,1.0,alive
t2,rnn,RNN,id_h128,id,128,ID T=128,0,0,,,,,,ineligible_id
t2,gru,GRU,id_h128,id,128,ID T=128,3,3,0.059081051498651505,0.05867348238825798,0.06395258754491806,0.04337027810885454,1.0,alive
t2,lstm,LSTM,id_h128,id,128,ID T=128,3,3,0.06776897609233856,0.05057091265916824,0.06792104244232178,0.049747918591870735,1.0,alive
t2,calru,CA-LRU,id_h128,id,128,ID T=128,3,3,0.0285229180008173,0.020814793184399605,0.048643868416547775,0.020938132527985466,1.0,alive
s2,rnn,RNN,id_h128,id,128,ID T=128,0,0,,,,,,ineligible_id
s2,gru,GRU,id_h128,id,128,ID T=128,0,0,,,,,,ineligible_id
s2,lstm,LSTM,id_h128,id,128,ID T=128,3,3,0.0755552425980568,0.059964798390865326,0.0784282386302948,0.0631573290369036,1.0,alive
s2,calru,CA-LRU,id_h128,id,128,ID T=128,1,1,0.10193680226802826,0.10193680226802826,0.10193680226802826,0.08520991979419866,1.0,alive
s1,rnn,RNN,length_h192,length,192,T=192,1,1,0.16525763273239136,0.16525763273239136,0.16525763273239136,0.1256289232941951,1.456781531740105,alive
s1,gru,GRU,length_h192,length,192,T=192,3,3,0.05701863020658493,0.034464411437511444,0.07577183097600937,0.04334558714248792,1.4126168288127716,alive
s1,lstm,LSTM,length_h192,length,192,T=192,3,3,0.048342861235141754,0.03161649778485298,0.05308753624558449,0.036750263848727815,1.3775081693790265,alive
s1,calru,CA-LRU,length_h192,length,192,T=192,3,3,0.07883093506097794,0.018747050315141678,0.09761044383049011,0.0599273106496832,1.2186403893085265,alive
t2,rnn,RNN,length_h192,length,192,T=192,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h192,length,192,T=192,3,3,0.08011647313833237,0.0782521516084671,0.09261275827884674,0.0558562354066992,1.365463065719884,alive
t2,lstm,LSTM,length_h192,length,192,T=192,3,3,0.09010861814022064,0.06588379293680191,0.09407010674476624,0.06282263796513017,1.329644084004504,alive
t2,calru,CA-LRU,length_h192,length,192,T=192,3,3,0.03798007592558861,0.026368586346507072,0.062028948217630386,0.026479249255032096,1.2751647892487359,alive
s2,rnn,RNN,length_h192,length,192,T=192,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h192,length,192,T=192,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h192,length,192,T=192,3,3,0.10420769453048706,0.07822786271572113,0.10696535557508469,0.0815406484317167,1.3638627800799128,alive
s2,calru,CA-LRU,length_h192,length,192,T=192,1,1,0.14923833310604095,0.14923833310604095,0.14923833310604095,0.11677631394843828,1.4640280034843558,alive
s1,rnn,RNN,length_h256,length,256,T=256,1,1,0.22182700037956238,0.22182700037956238,0.22182700037956238,0.16485994938016932,1.9554526592883474,alive
s1,gru,GRU,length_h256,length,256,T=256,3,3,0.07301349937915802,0.04101170599460602,0.08953803032636642,0.054263014831922245,1.7445902867813246,alive
s1,lstm,LSTM,length_h256,length,256,T=256,3,3,0.05879075080156326,0.03998465836048126,0.07213500142097473,0.04369278845489381,1.742102933607656,alive
s1,calru,CA-LRU,length_h256,length,256,T=256,3,3,0.09157232940196991,0.0269114151597023,0.11635669320821762,0.06805578024316938,1.45268231907806,alive
t2,rnn,RNN,length_h256,length,256,T=256,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h256,length,256,T=256,3,3,0.10178816318511963,0.09717829525470734,0.1171455979347229,0.06931322305703864,1.7348239620679131,alive
t2,lstm,LSTM,length_h256,length,256,T=256,3,3,0.11681030690670013,0.0780380442738533,0.11905858665704727,0.07954263643858417,1.7236545930329588,alive
t2,calru,CA-LRU,length_h256,length,256,T=256,3,3,0.04695455729961395,0.032095879316329956,0.08208681643009186,0.03197397027131371,1.6462045467531938,alive
s2,rnn,RNN,length_h256,length,256,T=256,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h256,length,256,T=256,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h256,length,256,T=256,3,3,0.1230972409248352,0.09550347924232483,0.12950082123279572,0.0920849848827935,1.6292349371399033,alive
s2,calru,CA-LRU,length_h256,length,256,T=256,1,1,0.2102920114994049,0.2102920114994049,0.2102920114994049,0.15731251614095315,2.0629645704058097,alive
