topology,model,model_label,task_success_seed_count,representative_available,selected_job_id,selected_seed,selected_task_success,selection_kind,selected_validation_error,selection_policy
s1,rnn,RNN,1,True,pilot__rnn__s1__seed12,12,True,best_validation_success,0.02054002322256565,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s1,gru,GRU,3,True,pilot__gru__s1__seed12,12,True,best_validation_success,0.0054211486130952835,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s1,lstm,LSTM,3,True,pilot__lstm__s1__seed10,10,True,best_validation_success,0.0044144196435809135,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s1,calru,CA-LRU,3,True,broad__calru__s1__lr0p01_eta1000_i50__seed10,10,True,best_validation_success,0.0027899411506950855,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s1,hc,H-C,3,True,broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,10,True,best_validation_success,0.016481805592775345,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
t2,rnn,RNN,0,True,pilot__rnn__t2__seed11,11,False,best_available_failed_fallback,0.04420476034283638,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
t2,gru,GRU,3,True,pilot__gru__t2__seed12,12,True,best_validation_success,0.01263304241001606,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
t2,lstm,LSTM,3,True,pilot__lstm__t2__seed12,12,True,best_validation_success,0.010496674105525017,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
t2,calru,CA-LRU,3,True,broad__calru__t2__lr0p01_eta1000_i50__seed10,10,True,best_validation_success,0.004256655462086201,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
t2,hc,H-C,3,True,attractor_robust__hc__t2__f2_lr0p01_a0p025_bm0p1_eta1000_i50__seed12,12,True,best_validation_success,0.03299389034509659,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s2,rnn,RNN,0,True,pilot__rnn__s2__seed10,10,False,best_available_failed_fallback,0.2955823242664337,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s2,gru,GRU,0,True,pilot__gru__s2__seed10,10,False,best_available_failed_fallback,0.02658451721072197,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s2,lstm,LSTM,3,True,pilot__lstm__s2__seed12,12,True,best_validation_success,0.012160596437752247,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s2,calru,CA-LRU,1,True,broad__calru__s2__lr0p003_eta1000_i50__seed10,10,True,best_validation_success,0.02049138955771923,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
s2,hc,H-C,2,True,refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,10,True,best_validation_success,0.021639784798026085,"lowest validation_error among task_success=true; if none succeed, lowest-validation-error checkpoint is an explicit failed-task fallback"
