topology,model,model_label,horizon,threshold_fraction,signature_match_count,signature_match_fraction,detected_h1_median,detected_h2_median
s1,rnn,RNN,0,0.5,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,0,0.65,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,0,0.8,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,128,0.5,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,128,0.65,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,128,0.8,1,0.3333333333333333,0.0,0.0
s1,rnn,RNN,512,0.5,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,512,0.65,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,512,0.8,2,0.6666666666666666,1.0,0.0
s1,rnn,RNN,2048,0.5,0,0.0,0.0,0.0
s1,rnn,RNN,2048,0.65,0,0.0,0.0,0.0
s1,rnn,RNN,2048,0.8,0,0.0,0.0,0.0
s1,rnn,RNN,4096,0.5,0,0.0,0.0,0.0
s1,rnn,RNN,4096,0.65,0,0.0,0.0,0.0
s1,rnn,RNN,4096,0.8,0,0.0,0.0,0.0
s1,gru,GRU,0,0.5,3,1.0,1.0,0.0
s1,gru,GRU,0,0.65,3,1.0,1.0,0.0
s1,gru,GRU,0,0.8,3,1.0,1.0,0.0
s1,gru,GRU,128,0.5,3,1.0,1.0,0.0
s1,gru,GRU,128,0.65,3,1.0,1.0,0.0
s1,gru,GRU,128,0.8,3,1.0,1.0,0.0
s1,gru,GRU,512,0.5,3,1.0,1.0,0.0
s1,gru,GRU,512,0.65,3,1.0,1.0,0.0
s1,gru,GRU,512,0.8,3,1.0,1.0,0.0
s1,gru,GRU,2048,0.5,3,1.0,1.0,0.0
s1,gru,GRU,2048,0.65,3,1.0,1.0,0.0
s1,gru,GRU,2048,0.8,3,1.0,1.0,0.0
s1,gru,GRU,4096,0.5,3,1.0,1.0,0.0
s1,gru,GRU,4096,0.65,1,0.3333333333333333,0.0,0.0
s1,gru,GRU,4096,0.8,1,0.3333333333333333,0.0,0.0
s1,lstm,LSTM,0,0.5,3,1.0,1.0,0.0
s1,lstm,LSTM,0,0.65,3,1.0,1.0,0.0
s1,lstm,LSTM,0,0.8,3,1.0,1.0,0.0
s1,lstm,LSTM,128,0.5,3,1.0,1.0,0.0
s1,lstm,LSTM,128,0.65,3,1.0,1.0,0.0
s1,lstm,LSTM,128,0.8,3,1.0,1.0,0.0
s1,lstm,LSTM,512,0.5,3,1.0,1.0,0.0
s1,lstm,LSTM,512,0.65,3,1.0,1.0,0.0
s1,lstm,LSTM,512,0.8,3,1.0,1.0,0.0
s1,lstm,LSTM,2048,0.5,3,1.0,1.0,0.0
s1,lstm,LSTM,2048,0.65,2,0.6666666666666666,1.0,0.0
s1,lstm,LSTM,2048,0.8,2,0.6666666666666666,1.0,0.0
s1,lstm,LSTM,4096,0.5,2,0.6666666666666666,1.0,0.0
s1,lstm,LSTM,4096,0.65,2,0.6666666666666666,1.0,0.0
s1,lstm,LSTM,4096,0.8,2,0.6666666666666666,1.0,0.0
s1,calru,CA-LRU,0,0.5,3,1.0,1.0,0.0
s1,calru,CA-LRU,0,0.65,3,1.0,1.0,0.0
s1,calru,CA-LRU,0,0.8,3,1.0,1.0,0.0
s1,calru,CA-LRU,128,0.5,3,1.0,1.0,0.0
