topology,model,model_label,eligible_seed_count,kick_radius_relative,recovery_horizon,recovery_ratio_median,recovery_ratio_min,recovery_ratio_max,same_memory_error_normalized_median,same_memory_error_normalized_min,same_memory_error_normalized_max,same_memory_error_radians_median,status
s1,rnn,RNN,1,0.05,0,1.0,1.0,1.0,0.006566272117197514,0.006566272117197514,0.006566272117197514,0.020628552244859207,trajectory
s1,rnn,RNN,1,0.05,1,0.8940243721008301,0.8940243721008301,0.8940243721008301,0.006328139919787645,0.006328139919787645,0.006328139919787645,0.01988043788289317,trajectory
s1,rnn,RNN,1,0.05,16,0.41390466690063477,0.41390466690063477,0.41390466690063477,0.0036017061211168766,0.0036017061211168766,0.0036017061211168766,0.01131509349049017,trajectory
s1,rnn,RNN,1,0.05,128,0.04898305982351303,0.04898305982351303,0.04898305982351303,0.0033410568721592426,0.0033410568721592426,0.0033410568721592426,0.01049623972480117,trajectory
s1,rnn,RNN,1,0.05,512,0.02739160880446434,0.02739160880446434,0.02739160880446434,0.0031377056147903204,0.0031377056147903204,0.0031377056147903204,0.009857392908552715,trajectory
s1,rnn,RNN,1,0.05,2048,0.0,0.0,0.0,0.0031720076221972704,0.0031720076221972704,0.0031720076221972704,0.009965155843025772,survived
s1,gru,GRU,3,0.05,0,1.0,1.0,1.0,0.001961795147508383,0.0019403413170948625,0.0020188079215586185,0.00616316122326044,trajectory
s1,gru,GRU,3,0.05,1,0.5125765204429626,0.5098123550415039,0.5160735845565796,0.0018641683273017406,0.0018435744568705559,0.001954834908246994,0.005856457522105922,trajectory
s1,gru,GRU,3,0.05,16,0.0780077800154686,0.07446326315402985,0.07918436080217361,0.001787719433195889,0.0017680616583675146,0.0019131687004119158,0.005616286238007914,trajectory
s1,gru,GRU,3,0.05,128,0.033354517072439194,0.03128796070814133,0.034759778529405594,0.0018064213218167424,0.0017855342011898756,0.0019337728153914213,0.0056750399539074415,trajectory
s1,gru,GRU,3,0.05,512,0.030878566205501556,0.029402729123830795,0.03130047768354416,0.001798419514670968,0.0017974867951124907,0.0019487382378429174,0.0056499015353628345,trajectory
s1,gru,GRU,3,0.05,2048,0.017138659954071045,0.016653137281537056,0.018695374950766563,0.0018418284598737955,0.0017780209891498089,0.001997307874262333,0.005786274758712119,survived
s1,lstm,LSTM,3,0.05,0,1.0,1.0,1.0,0.0033763162791728973,0.0033306805416941643,0.003412162885069847,0.0106070104188452,trajectory
s1,lstm,LSTM,3,0.05,1,0.46951109170913696,0.4688214361667633,0.47269386053085327,0.0015015575336292386,0.001460743136703968,0.0015695426845923066,0.004717282116592025,trajectory
s1,lstm,LSTM,3,0.05,16,0.04215731471776962,0.04022907465696335,0.044992122799158096,0.0013266270980238914,0.0012991726398468018,0.001387476921081543,0.004167721945205004,trajectory
s1,lstm,LSTM,3,0.05,128,0.03302357345819473,0.030781075358390808,0.034846048802137375,0.0013305090833455324,0.0013000767212361097,0.0013867160305380821,0.004179917561772814,trajectory
s1,lstm,LSTM,3,0.05,512,0.027650685980916023,0.026203151792287827,0.02809887006878853,0.0013382910983636975,0.0012966763461008668,0.0013900098856538534,0.004204365482984008,trajectory
s1,lstm,LSTM,3,0.05,2048,0.011007414199411869,0.009483466856181622,0.01884910836815834,0.0012459398712962866,0.001024405239149928,0.0013713673688471317,0.003914235546479026,survived
s1,calru,CA-LRU,3,0.05,0,1.0,1.0,1.0,0.0008421681704930961,0.0007326877675950527,0.001114636892452836,0.002645749337508267,trajectory
s1,calru,CA-LRU,3,0.05,1,0.7409142255783081,0.7395207285881042,0.7530835866928101,0.0006532223196700215,0.0005862439284101129,0.0008943399880081415,0.002052158440636223,trajectory
s1,calru,CA-LRU,3,0.05,16,0.2645416855812073,0.26110225915908813,0.3009129762649536,0.00039367255521938205,0.00035239814314991236,0.0005336409085430205,0.0012367588073971328,trajectory
s1,calru,CA-LRU,3,0.05,128,0.25753337144851685,0.2566526532173157,0.2951778769493103,0.0004106941050849855,0.0003602061769925058,0.0005365737015381455,0.001290233583407625,trajectory
s1,calru,CA-LRU,3,0.05,512,0.25753337144851685,0.2566526532173157,0.2950906753540039,0.00041070254519581795,0.0003602064389269799,0.0005365739343687892,0.0012902600987978116,trajectory
s1,calru,CA-LRU,3,0.05,2048,0.25753337144851685,0.2566526532173157,0.2949095070362091,0.0004107264685444534,0.0003602064389269799,0.0005365739343687892,0.001290335256214134,survived
s1,rnn,RNN,1,0.1,0,1.0,1.0,1.0,0.013157091103494167,0.013157091103494167,0.013157091103494167,0.0413342207533489,trajectory
s1,rnn,RNN,1,0.1,1,0.8940351009368896,0.8940351009368896,0.8940351009368896,0.012678047642111778,0.012678047642111778,0.012678047642111778,0.039829261334319764,trajectory
s1,rnn,RNN,1,0.1,16,0.4112689793109894,0.4112689793109894,0.4112689793109894,0.0072015197947621346,0.0072015197947621346,0.0072015197947621346,0.022624241681906198,trajectory
s1,rnn,RNN,1,0.1,128,0.024495434015989304,0.024495434015989304,0.024495434015989304,0.006692582741379738,0.006692582741379738,0.006692582741379738,0.021025368773860423,trajectory
